id,ticker symbol,security,sec filings,gics sector,gics sub industry,address of headquarters,date first added,cik
"293","MAS","Masco Corp.","reports","Industrials","Building Products","Taylor, Michigan","1981-06-30","62996"
"294","MA","Mastercard Inc.","reports","Information Technology","Internet Software & Services","Harrison, New York","2008-07-18","1141391"
"295","MAT","Mattel Inc.","reports","Consumer Discretionary","Leisure Products","El Segundo, California","1982-03-31","63276"
"296","MKC","McCormick & Co.","reports","Consumer Staples","Packaged Foods & Meats","Sparks, Maryland","0000-00-00","63754"
"297","MCD","McDonald's Corp.","reports","Consumer Discretionary","Restaurants","Oak Brook, Illinois","1970-06-30","63908"
"298","MCK","McKesson Corp.","reports","Health Care","Health Care Distributors","San Francisco, California","0000-00-00","927653"
"299","MJN","Mead Johnson","reports","Consumer Staples","Packaged Foods & Meats","Glenview, Illinois","2009-12-21","1452575"
"300","MDT","Medtronic plc","reports","Health Care","Health Care Equipment","Dublin, Ireland","1986-10-31","64670"
"301","MRK","Merck & Co.","reports","Health Care","Pharmaceuticals","Whitehouse Station, New Jersey","0000-00-00","310158"
"302","MET","MetLife Inc.","reports","Financials","Life & Health Insurance","New York, New York","0000-00-00","1099219"
"303","MTD","Mettler Toledo","reports","Health Care","Life Sciences Tools & Services","Columbus, Ohio","2016-09-06","1037646"
"304","KORS","Michael Kors Holdings","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2013-11-13","1530721"
"305","MCHP","Microchip Technology","reports","Information Technology","Semiconductors","Chandler, Arizona","2007-09-07","827054"
"306","MU","Micron Technology","reports","Information Technology","Semiconductors","Boise, Idaho","1994-09-27","723125"
"307","MSFT","Microsoft Corp.","reports","Information Technology","Systems Software","Redmond, Washington","1994-06-01","789019"
"308","MAA","Mid-America Apartments","reports","Real Estate","Residential REITs","Memphis, Tennessee","2016-12-02","912595"
"309","MHK","Mohawk Industries","reports","Consumer Discretionary","Home Furnishings","Amsterdam, New York","2013-12-23","851968"
"310","TAP","Molson Coors Brewing Company","reports","Consumer Staples","Brewers","Denver, Colorado","1976-06-30","24545"
